"","Item","Suport","Confidence"
"42","{Instant food products,fruit/vegetable juice,hamburger meat}","5","0.00459982"
"43","{Instant food products,fruit/vegetable juice,root vegetables}","5","0.00459982"
"44","{Instant food products,hamburger meat}","30","0.0275989"
"45","{Instant food products,hamburger meat,hygiene articles}","6","0.00551978"
"46","{Instant food products,hamburger meat,newspapers}","6","0.00551978"
"47","{Instant food products,hamburger meat,other vegetables}","8","0.00735971"
"48","{Instant food products,hamburger meat,other vegetables,whole milk}","5","0.00459982"
"49","{Instant food products,hamburger meat,pastry}","7","0.00643974"
"50","{Instant food products,hamburger meat,pip fruit}","5","0.00459982"
"51","{Instant food products,hamburger meat,pork}","5","0.00459982"
"52","{Instant food products,hamburger meat,rolls/buns}","10","0.00919963"
"53","{Instant food products,hamburger meat,rolls/buns,whole milk}","6","0.00551978"
"54","{Instant food products,hamburger meat,root vegetables}","6","0.00551978"
"55","{Instant food products,hamburger meat,shopping bags}","8","0.00735971"
"56","{Instant food products,hamburger meat,soda}","12","0.0110396"
"57","{Instant food products,hamburger meat,tropical fruit}","6","0.00551978"
"58","{Instant food products,hamburger meat,whole milk}","15","0.0137994"
"59","{Instant food products,hamburger meat,yogurt}","6","0.00551978"
"60","{Instant food products,hygiene articles}","7","0.00643974"
"61","{Instant food products,ice cream}","5","0.00459982"
"62","{Instant food products,margarine}","7","0.00643974"
"63","{Instant food products,meat}","5","0.00459982"
"64","{Instant food products,napkins}","8","0.00735971"
"65","{Instant food products,newspapers}","11","0.0101196"
"66","{Instant food products,newspapers,other vegetables}","5","0.00459982"
"67","{Instant food products,newspapers,root vegetables}","5","0.00459982"
"68","{Instant food products,newspapers,soda}","5","0.00459982"
"69","{Instant food products,newspapers,whole milk}","5","0.00459982"
"70","{Instant food products,other vegetables}","27","0.0141881"
"71","{Instant food products,other vegetables,pastry}","5","0.00262743"
"72","{Instant food products,other vegetables,pip fruit}","5","0.00262743"
"73","{Instant food products,other vegetables,pork}","8","0.00420389"
"74","{Instant food products,other vegetables,pork,whole milk}","6","0.00315292"
"75","{Instant food products,other vegetables,rolls/buns}","9","0.00472937"
"76","{Instant food products,other vegetables,rolls/buns,whole milk}","5","0.00262743"
"77","{Instant food products,other vegetables,root vegetables}","10","0.00525486"
"78","{Instant food products,other vegetables,root vegetables,whole milk}","5","0.00262743"
"79","{Instant food products,other vegetables,shopping bags}","5","0.00262743"
"80","{Instant food products,other vegetables,soda}","5","0.00262743"
"81","{Instant food products,other vegetables,tropical fruit}","6","0.00315292"
"82","{Instant food products,other vegetables,whole milk}","15","0.00788229"
"83","{Instant food products,other vegetables,whole milk,yogurt}","5","0.00262743"
"84","{Instant food products,other vegetables,yogurt}","6","0.00315292"
"85","{Instant food products,pasta}","6","0.00315292"
"86","{Instant food products,pastry}","14","0.00735681"
"87","{Instant food products,pastry,rolls/buns}","6","0.00315292"
"88","{Instant food products,pastry,whole milk}","8","0.00420389"
"89","{Instant food products,pip fruit}","10","0.00525486"
"90","{Instant food products,pip fruit,whole milk}","6","0.00315292"
"91","{Instant food products,pork}","10","0.00525486"
"92","{Instant food products,pork,whole milk}","6","0.00315292"
"93","{Instant food products,processed cheese}","5","0.00262743"
"94","{Instant food products,rolls/buns}","23","0.0120862"
"95","{Instant food products,rolls/buns,root vegetables}","7","0.0036784"
"96","{Instant food products,rolls/buns,soda}","5","0.00262743"
"97","{Instant food products,rolls/buns,whole milk}","11","0.00578035"
"98","{Instant food products,root vegetables}","19","0.00998424"
"99","{Instant food products,root vegetables,soda}","7","0.0036784"
"100","{Instant food products,root vegetables,tropical fruit}","7","0.0036784"
"101","{Instant food products,root vegetables,whole milk}","7","0.0036784"
"102","{Instant food products,root vegetables,yogurt}","6","0.00315292"
"103","{Instant food products,salty snack}","8","0.00420389"
"104","{Instant food products,sausage}","8","0.00420389"
"105","{Instant food products,shopping bags}","11","0.00578035"
"106","{Instant food products,shopping bags,soda}","6","0.00315292"
"107","{Instant food products,sliced cheese}","5","0.00262743"
"108","{Instant food products,soda}","19","0.00998424"
"109","{Instant food products,soda,whole milk}","6","0.00315292"
"110","{Instant food products,soda,yogurt}","5","0.00262743"
"111","{Instant food products,sugar}","5","0.00262743"
"112","{Instant food products,tropical fruit}","15","0.00788229"
"113","{Instant food products,tropical fruit,whole milk}","8","0.00420389"
"114","{Instant food products,tropical fruit,whole milk,yogurt}","6","0.00315292"
"115","{Instant food products,tropical fruit,yogurt}","6","0.00315292"
"116","{Instant food products,whipped/sour cream}","7","0.0036784"
"117","{Instant food products,whipped/sour cream,yogurt}","6","0.00315292"
"118","{Instant food products,white bread}","8","0.00420389"
"119","{Instant food products,whole milk}","30","0.0119379"
"120","{Instant food products,whole milk,yogurt}","11","0.00437724"
"121","{Instant food products,yogurt}","14","0.00557103"
"122","{UHT-milk}","329","1"
"123","{UHT-milk,baking powder}","9","0.00358138"
"124","{UHT-milk,beef}","14","0.00557103"
"125","{UHT-milk,beef,newspapers}","5","0.00198965"
"126","{UHT-milk,beef,other vegetables}","10","0.00397931"
"127","{UHT-milk,beef,pork}","5","0.00198965"
"128","{UHT-milk,beef,root vegetables}","5","0.00198965"
"129","{UHT-milk,beef,sausage}","5","0.00198965"
"130","{UHT-milk,beef,yogurt}","6","0.00238758"
"131","{UHT-milk,berries}","17","0.00676482"
"132","{UHT-milk,berries,bottled water}","6","0.00238758"
"133","{UHT-milk,berries,bottled water,other vegetables}","5","0.00198965"
"134","{UHT-milk,berries,bottled water,soda}","5","0.00198965"
"135","{UHT-milk,berries,other vegetables}","9","0.00358138"
"136","{UHT-milk,berries,other vegetables,soda}","5","0.00198965"
"137","{UHT-milk,berries,soda}","7","0.00278552"
"138","{UHT-milk,berries,yogurt}","5","0.00198965"
"139","{UHT-milk,beverages}","8","0.00318345"
"140","{UHT-milk,bottled beer}","24","0.00955034"
"141","{UHT-milk,bottled beer,bottled water}","11","0.00437724"
"142","{UHT-milk,bottled beer,bottled water,soda}","6","0.00238758"
"143","{UHT-milk,bottled beer,butter}","6","0.00238758"
"144","{UHT-milk,bottled beer,citrus fruit}","5","0.00198965"
"145","{UHT-milk,bottled beer,coffee}","5","0.00198965"
"146","{UHT-milk,bottled beer,other vegetables}","6","0.00238758"
"147","{UHT-milk,bottled beer,pip fruit}","5","0.00198965"
"148","{UHT-milk,bottled beer,rolls/buns}","5","0.00198965"
"149","{UHT-milk,bottled beer,root vegetables}","6","0.00238758"
"150","{UHT-milk,bottled beer,root vegetables,soda}","5","0.00198965"
"151","{UHT-milk,bottled beer,shopping bags}","6","0.00238758"
"152","{UHT-milk,bottled beer,soda}","10","0.00397931"
"153","{UHT-milk,bottled beer,whipped/sour cream}","5","0.00198965"
"154","{UHT-milk,bottled water}","72","0.028651"
"155","{UHT-milk,bottled water,brown bread}","9","0.00358138"
"156","{UHT-milk,bottled water,butter}","6","0.00238758"
"157","{UHT-milk,bottled water,butter milk}","6","0.00238758"
"158","{UHT-milk,bottled water,canned beer}","6","0.00238758"
"159","{UHT-milk,bottled water,cat food}","5","0.00198965"
"160","{UHT-milk,bottled water,citrus fruit}","11","0.00437724"
"161","{UHT-milk,bottled water,citrus fruit,fruit/vegetable juice}","6","0.00238758"
"162","{UHT-milk,bottled water,citrus fruit,tropical fruit}","5","0.00198965"
"163","{UHT-milk,bottled water,citrus fruit,whole milk}","5","0.00198965"
"164","{UHT-milk,bottled water,coffee}","7","0.00278552"
"165","{UHT-milk,bottled water,cream cheese }","7","0.00278552"
"166","{UHT-milk,bottled water,curd}","5","0.00198965"
"167","{UHT-milk,bottled water,dessert}","7","0.00278552"
"168","{UHT-milk,bottled water,domestic eggs}","7","0.00278552"
"169","{UHT-milk,bottled water,domestic eggs,margarine}","5","0.00198965"
"170","{UHT-milk,bottled water,frankfurter}","6","0.00238758"
"171","{UHT-milk,bottled water,frozen vegetables}","8","0.00318345"
"172","{UHT-milk,bottled water,fruit/vegetable juice}","11","0.00437724"
"173","{UHT-milk,bottled water,fruit/vegetable juice,tropical fruit}","5","0.00198965"
"174","{UHT-milk,bottled water,margarine}","11","0.00437724"
"175","{UHT-milk,bottled water,margarine,other vegetables}","5","0.00198965"
"176","{UHT-milk,bottled water,margarine,soda}","5","0.00198965"
"177","{UHT-milk,bottled water,margarine,yogurt}","5","0.00198965"
"178","{UHT-milk,bottled water,napkins}","7","0.00278552"
"179","{UHT-milk,bottled water,newspapers}","7","0.00278552"
"180","{UHT-milk,bottled water,newspapers,other vegetables}","5","0.00198965"
"181","{UHT-milk,bottled water,newspapers,soda}","5","0.00198965"
"182","{UHT-milk,bottled water,onions}","7","0.00278552"
"183","{UHT-milk,bottled water,other vegetables}","22","0.00875448"
"184","{UHT-milk,bottled water,other vegetables,rolls/buns}","7","0.00278552"
"185","{UHT-milk,bottled water,other vegetables,rolls/buns,soda}","5","0.00198965"
"186","{UHT-milk,bottled water,other vegetables,root vegetables}","6","0.00238758"
"187","{UHT-milk,bottled water,other vegetables,shopping bags}","5","0.00198965"
"188","{UHT-milk,bottled water,other vegetables,soda}","10","0.00397931"
"189","{UHT-milk,bottled water,other vegetables,tropical fruit}","6","0.00238758"
"190","{UHT-milk,bottled water,other vegetables,whipped/sour cream}","6","0.00238758"
"191","{UHT-milk,bottled water,other vegetables,whole milk}","7","0.00278552"
"192","{UHT-milk,bottled water,other vegetables,yogurt}","6","0.00238758"
"193","{UHT-milk,bottled water,pastry}","8","0.00318345"
"194","{UHT-milk,bottled water,pip fruit}","6","0.00238758"
"195","{UHT-milk,bottled water,pork}","7","0.00278552"
"196","{UHT-milk,bottled water,pork,soda}","5","0.00198965"
"197","{UHT-milk,bottled water,rolls/buns}","13","0.0051731"
"198","{UHT-milk,bottled water,rolls/buns,soda}","6","0.00238758"
"199","{UHT-milk,bottled water,root vegetables}","12","0.00477517"
"200","{UHT-milk,bottled water,root vegetables,soda}","6","0.00238758"
"201","{UHT-milk,bottled water,root vegetables,tropical fruit}","5","0.00198965"
"202","{UHT-milk,bottled water,sausage}","7","0.00278552"
"203","{UHT-milk,bottled water,shopping bags}","16","0.00636689"
"204","{UHT-milk,bottled water,shopping bags,soda}","6","0.00238758"
"205","{UHT-milk,bottled water,soda}","28","0.0111421"
"206","{UHT-milk,bottled water,soda,tropical fruit}","8","0.00318345"
"207","{UHT-milk,bottled water,soda,yogurt}","5","0.00198965"
"208","{UHT-milk,bottled water,tropical fruit}","14","0.00557103"
"209","{UHT-milk,bottled water,whipped/sour cream}","9","0.00358138"
"210","{UHT-milk,bottled water,whole milk}","10","0.00397931"
"211","{UHT-milk,bottled water,yogurt}","15","0.00596896"
"212","{UHT-milk,brown bread}","40","0.0159172"
"213","{UHT-milk,brown bread,butter milk}","7","0.00278552"
"214","{UHT-milk,brown bread,butter milk,other vegetables}","5","0.00198965"
"215","{UHT-milk,brown bread,citrus fruit}","5","0.00198965"
"216","{UHT-milk,brown bread,coffee}","7","0.00278552"
"217","{UHT-milk,brown bread,cream cheese }","8","0.00318345"
"218","{UHT-milk,brown bread,cream cheese ,dessert}","5","0.00198965"
"219","{UHT-milk,brown bread,curd}","5","0.00198965"
"220","{UHT-milk,brown bread,dessert}","9","0.00358138"
"221","{UHT-milk,brown bread,frankfurter}","8","0.00318345"
"222","{UHT-milk,brown bread,fruit/vegetable juice}","7","0.00278552"
"223","{UHT-milk,brown bread,margarine}","5","0.00198965"
"224","{UHT-milk,brown bread,newspapers}","5","0.00198965"
"225","{UHT-milk,brown bread,other vegetables}","11","0.00437724"
"226","{UHT-milk,brown bread,pastry}","8","0.00318345"
"227","{UHT-milk,brown bread,pork}","7","0.00278552"
"228","{UHT-milk,brown bread,rolls/buns}","6","0.00238758"
"229","{UHT-milk,brown bread,root vegetables}","5","0.00198965"
"230","{UHT-milk,brown bread,shopping bags}","7","0.00278552"
"231","{UHT-milk,brown bread,soda}","7","0.00278552"
"232","{UHT-milk,brown bread,tropical fruit}","8","0.00318345"
"233","{UHT-milk,brown bread,yogurt}","10","0.00397931"
"234","{UHT-milk,butter}","23","0.00915241"
"235","{UHT-milk,butter,coffee}","5","0.00198965"
"236","{UHT-milk,butter,curd}","6","0.00238758"
"237","{UHT-milk,butter,frozen vegetables}","5","0.00198965"
"238","{UHT-milk,butter,margarine}","6","0.00238758"
"239","{UHT-milk,butter,other vegetables}","10","0.00397931"
"240","{UHT-milk,butter,other vegetables,tropical fruit}","6","0.00238758"
"241","{UHT-milk,butter,pastry}","5","0.00198965"
"242","{UHT-milk,butter,rolls/buns}","6","0.00238758"
"243","{UHT-milk,butter,root vegetables}","7","0.00278552"
"244","{UHT-milk,butter,root vegetables,soda}","5","0.00198965"
"245","{UHT-milk,butter,sausage}","5","0.00198965"
"246","{UHT-milk,butter,soda}","6","0.00238758"
"247","{UHT-milk,butter,tropical fruit}","7","0.00278552"
"248","{UHT-milk,butter,whipped/sour cream}","5","0.00198965"
"249","{UHT-milk,butter,whole milk}","5","0.00198965"
"250","{UHT-milk,butter,yogurt}","6","0.00238758"
"251","{UHT-milk,butter milk}","18","0.00716275"
"252","{UHT-milk,butter milk,fruit/vegetable juice}","5","0.00198965"
"253","{UHT-milk,butter milk,margarine}","5","0.00198965"
"254","{UHT-milk,butter milk,other vegetables}","10","0.00397931"
"255","{UHT-milk,butter milk,rolls/buns}","6","0.00238758"
"256","{UHT-milk,butter milk,tropical fruit}","6","0.00238758"
"257","{UHT-milk,cake bar}","10","0.00397931"
"258","{UHT-milk,candy}","12","0.00477517"
"259","{UHT-milk,candy,root vegetables}","5","0.00198965"
"260","{UHT-milk,canned beer}","19","0.00756068"
"261","{UHT-milk,canned beer,soda}","8","0.00318345"
"262","{UHT-milk,canned fish}","9","0.00358138"
"263","{UHT-milk,canned fish,yogurt}","5","0.00198965"
"264","{UHT-milk,canned vegetables}","9","0.00358138"
"265","{UHT-milk,canned vegetables,other vegetables}","7","0.00278552"
"266","{UHT-milk,cat food}","15","0.00596896"
"267","{UHT-milk,cat food,pastry}","5","0.00198965"
"268","{UHT-milk,cat food,pip fruit}","5","0.00198965"
"269","{UHT-milk,chewing gum}","6","0.00238758"
"270","{UHT-milk,chicken}","22","0.00875448"
"271","{UHT-milk,chicken,coffee}","6","0.00238758"
"272","{UHT-milk,chicken,hamburger meat}","7","0.00278552"
"273","{UHT-milk,chicken,hamburger meat,other vegetables}","5","0.00198965"
"274","{UHT-milk,chicken,other vegetables}","12","0.00477517"
"275","{UHT-milk,chicken,rolls/buns}","6","0.00238758"
"276","{UHT-milk,chicken,salty snack}","5","0.00198965"
"277","{UHT-milk,chicken,soda}","5","0.00198965"
"278","{UHT-milk,chocolate}","16","0.00636689"
"279","{UHT-milk,chocolate,pastry}","5","0.00198965"
"280","{UHT-milk,chocolate,tropical fruit}","5","0.00198965"
"281","{UHT-milk,citrus fruit}","45","0.0179069"
"282","{UHT-milk,citrus fruit,dessert}","5","0.00198965"
"283","{UHT-milk,citrus fruit,domestic eggs}","7","0.00278552"
"284","{UHT-milk,citrus fruit,frozen vegetables}","6","0.00238758"
"285","{UHT-milk,citrus fruit,fruit/vegetable juice}","11","0.00437724"
"286","{UHT-milk,citrus fruit,fruit/vegetable juice,pip fruit}","5","0.00198965"
"287","{UHT-milk,citrus fruit,fruit/vegetable juice,pip fruit,tropical fruit}","5","0.00198965"
"288","{UHT-milk,citrus fruit,fruit/vegetable juice,tropical fruit}","8","0.00318345"
"289","{UHT-milk,citrus fruit,margarine}","6","0.00238758"
"290","{UHT-milk,citrus fruit,newspapers}","5","0.00198965"
"291","{UHT-milk,citrus fruit,other vegetables}","15","0.00596896"
"292","{UHT-milk,citrus fruit,other vegetables,pip fruit}","7","0.00278552"
"293","{UHT-milk,citrus fruit,other vegetables,tropical fruit}","5","0.00198965"
"294","{UHT-milk,citrus fruit,pastry}","6","0.00238758"
"295","{UHT-milk,citrus fruit,pip fruit}","11","0.00437724"
"296","{UHT-milk,citrus fruit,pip fruit,tropical fruit}","6","0.00238758"
"297","{UHT-milk,citrus fruit,rolls/buns}","8","0.00318345"
"298","{UHT-milk,citrus fruit,root vegetables}","6","0.00238758"
"299","{UHT-milk,citrus fruit,soda}","7","0.00278552"
"300","{UHT-milk,citrus fruit,tropical fruit}","12","0.00477517"
"301","{UHT-milk,citrus fruit,tropical fruit,yogurt}","5","0.00198965"
"302","{UHT-milk,citrus fruit,whole milk}","7","0.00278552"
"303","{UHT-milk,citrus fruit,yogurt}","14","0.00557103"
"304","{UHT-milk,cling film/bags}","8","0.00318345"
"305","{UHT-milk,coffee}","42","0.0167131"
"306","{UHT-milk,coffee,cream cheese }","5","0.00198965"
"307","{UHT-milk,coffee,frankfurter}","7","0.00278552"
"308","{UHT-milk,coffee,frankfurter,yogurt}","5","0.00198965"
"309","{UHT-milk,coffee,margarine}","6","0.00238758"
"310","{UHT-milk,coffee,mustard}","5","0.00198965"
"311","{UHT-milk,coffee,other vegetables}","7","0.00278552"
"312","{UHT-milk,coffee,other vegetables,yogurt}","5","0.00198965"
"313","{UHT-milk,coffee,pastry}","6","0.00238758"
"314","{UHT-milk,coffee,pip fruit}","8","0.00318345"
"315","{UHT-milk,coffee,rolls/buns}","7","0.00278552"
"316","{UHT-milk,coffee,root vegetables}","9","0.00358138"
"317","{UHT-milk,coffee,root vegetables,yogurt}","5","0.00198965"
"318","{UHT-milk,coffee,shopping bags}","7","0.00278552"
"319","{UHT-milk,coffee,soda}","10","0.00397931"
"320","{UHT-milk,coffee,sugar}","6","0.00238758"
"321","{UHT-milk,coffee,tropical fruit}","6","0.00238758"
"322","{UHT-milk,coffee,yogurt}","11","0.00437724"
"323","{UHT-milk,condensed milk}","9","0.00358138"
"324","{UHT-milk,cream cheese }","28","0.0111421"
"325","{UHT-milk,cream cheese ,dessert}","7","0.00278552"
"326","{UHT-milk,cream cheese ,frozen vegetables}","7","0.00278552"
"327","{UHT-milk,cream cheese ,other vegetables}","8","0.00318345"
"328","{UHT-milk,cream cheese ,pastry}","5","0.00198965"
"329","{UHT-milk,cream cheese ,rolls/buns}","6","0.00238758"
"330","{UHT-milk,cream cheese ,soda}","7","0.00278552"
"331","{UHT-milk,cream cheese ,tropical fruit}","7","0.00278552"
"332","{UHT-milk,cream cheese ,yogurt}","8","0.00318345"
"333","{UHT-milk,curd}","23","0.00915241"
"334","{UHT-milk,curd,fruit/vegetable juice}","5","0.00198965"
"335","{UHT-milk,curd,margarine}","5","0.00198965"
"336","{UHT-milk,curd,other vegetables}","10","0.00397931"
"337","{UHT-milk,curd,other vegetables,tropical fruit}","5","0.00198965"
"338","{UHT-milk,curd,other vegetables,whipped/sour cream}","6","0.00238758"
"339","{UHT-milk,curd,pip fruit}","6","0.00238758"
"340","{UHT-milk,curd,rolls/buns}","6","0.00238758"
"341","{UHT-milk,curd,root vegetables}","5","0.00198965"
"342","{UHT-milk,curd,tropical fruit}","6","0.00238758"
"343","{UHT-milk,curd,whipped/sour cream}","8","0.00318345"
"344","{UHT-milk,curd,whipped/sour cream,yogurt}","5","0.00198965"
"345","{UHT-milk,curd,yogurt}","8","0.00318345"
"346","{UHT-milk,dessert}","30","0.0119379"
"347","{UHT-milk,dessert,domestic eggs}","5","0.00198965"
"348","{UHT-milk,dessert,frozen vegetables}","6","0.00238758"
"349","{UHT-milk,dessert,napkins}","5","0.00198965"
"350","{UHT-milk,dessert,other vegetables}","10","0.00397931"
"351","{UHT-milk,dessert,other vegetables,tropical fruit}","5","0.00198965"
"352","{UHT-milk,dessert,pastry}","6","0.00238758"
"353","{UHT-milk,dessert,rolls/buns}","5","0.00198965"
"354","{UHT-milk,dessert,root vegetables}","5","0.00198965"
"355","{UHT-milk,dessert,sausage}","5","0.00198965"
"356","{UHT-milk,dessert,shopping bags}","6","0.00238758"
"357","{UHT-milk,dessert,soda}","5","0.00198965"
"358","{UHT-milk,dessert,tropical fruit}","9","0.00358138"
"359","{UHT-milk,dessert,whipped/sour cream}","5","0.00198965"
"360","{UHT-milk,dessert,whole milk}","6","0.00238758"
"361","{UHT-milk,dessert,yogurt}","10","0.00397931"
"362","{UHT-milk,detergent}","6","0.00238758"
"363","{UHT-milk,dish cleaner}","7","0.00278552"
"364","{UHT-milk,dishes}","6","0.00238758"
"365","{UHT-milk,domestic eggs}","40","0.0159172"
"366","{UHT-milk,domestic eggs,fruit/vegetable juice}","7","0.00278552"
"367","{UHT-milk,domestic eggs,hamburger meat}","5","0.00198965"
"368","{UHT-milk,domestic eggs,margarine}","9","0.00358138"
"369","{UHT-milk,domestic eggs,margarine,root vegetables}","5","0.00198965"
"370","{UHT-milk,domestic eggs,newspapers}","9","0.00358138"
"371","{UHT-milk,domestic eggs,newspapers,soda}","5","0.00198965"
"372","{UHT-milk,domestic eggs,other vegetables}","13","0.0051731"
"373","{UHT-milk,domestic eggs,other vegetables,tropical fruit}","5","0.00198965"
"374","{UHT-milk,domestic eggs,pip fruit}","6","0.00238758"
"375","{UHT-milk,domestic eggs,rolls/buns}","15","0.00596896"
"376","{UHT-milk,domestic eggs,rolls/buns,yogurt}","8","0.00318345"
"377","{UHT-milk,domestic eggs,root vegetables}","9","0.00358138"
"378","{UHT-milk,domestic eggs,root vegetables,soda}","5","0.00198965"
"379","{UHT-milk,domestic eggs,soda}","11","0.00437724"
"380","{UHT-milk,domestic eggs,tropical fruit}","10","0.00397931"
"381","{UHT-milk,domestic eggs,tropical fruit,yogurt}","5","0.00198965"
"382","{UHT-milk,domestic eggs,whipped/sour cream}","6","0.00238758"
"383","{UHT-milk,domestic eggs,whole milk}","7","0.00278552"
"384","{UHT-milk,domestic eggs,yogurt}","13","0.0051731"
"385","{UHT-milk,flour}","6","0.00238758"
"386","{UHT-milk,flour,other vegetables}","5","0.00198965"
"387","{UHT-milk,frankfurter}","31","0.0123359"
"388","{UHT-milk,frankfurter,margarine}","7","0.00278552"
"389","{UHT-milk,frankfurter,mustard}","5","0.00198965"
"390","{UHT-milk,frankfurter,other vegetables}","11","0.00437724"
"391","{UHT-milk,frankfurter,other vegetables,yogurt}","5","0.00198965"
"392","{UHT-milk,frankfurter,pastry}","9","0.00358138"
"393","{UHT-milk,frankfurter,pork}","7","0.00278552"
"394","{UHT-milk,frankfurter,rolls/buns}","8","0.00318345"
"395","{UHT-milk,frankfurter,shopping bags}","6","0.00238758"
"396","{UHT-milk,frankfurter,soda}","5","0.00198965"
"397","{UHT-milk,frankfurter,tropical fruit}","5","0.00198965"
"398","{UHT-milk,frankfurter,yogurt}","10","0.00397931"
"399","{UHT-milk,frozen dessert}","7","0.00278552"
"400","{UHT-milk,frozen fish}","6","0.00238758"
"401","{UHT-milk,frozen meals}","7","0.00278552"
"402","{UHT-milk,frozen vegetables}","27","0.0107441"
"403","{UHT-milk,frozen vegetables,fruit/vegetable juice}","7","0.00278552"
"404","{UHT-milk,frozen vegetables,other vegetables}","10","0.00397931"
"405","{UHT-milk,frozen vegetables,rolls/buns}","5","0.00198965"
"406","{UHT-milk,frozen vegetables,root vegetables}","6","0.00238758"
"407","{UHT-milk,frozen vegetables,shopping bags}","6","0.00238758"
"408","{UHT-milk,frozen vegetables,soda}","8","0.00318345"
"409","{UHT-milk,frozen vegetables,tropical fruit}","6","0.00238758"
"410","{UHT-milk,frozen vegetables,whipped/sour cream}","5","0.00198965"
"411","{UHT-milk,frozen vegetables,whole milk}","6","0.00238758"
"412","{UHT-milk,frozen vegetables,yogurt}","10","0.00397931"
"413","{UHT-milk,fruit/vegetable juice}","39","0.0155193"
"414","{UHT-milk,fruit/vegetable juice,margarine}","5","0.00198965"
"415","{UHT-milk,fruit/vegetable juice,newspapers}","10","0.00397931"
"416","{UHT-milk,fruit/vegetable juice,other vegetables}","11","0.00437724"
"417","{UHT-milk,fruit/vegetable juice,other vegetables,tropical fruit}","8","0.00318345"
"418","{UHT-milk,fruit/vegetable juice,pip fruit}","8","0.00318345"
"419","{UHT-milk,fruit/vegetable juice,pip fruit,tropical fruit}","6","0.00238758"
"420","{UHT-milk,fruit/vegetable juice,rolls/buns}","6","0.00238758"
"421","{UHT-milk,fruit/vegetable juice,root vegetables}","5","0.00198965"
"422","{UHT-milk,fruit/vegetable juice,shopping bags}","6","0.00238758"
"423","{UHT-milk,fruit/vegetable juice,soda}","10","0.00397931"
"424","{UHT-milk,fruit/vegetable juice,soda,tropical fruit}","5","0.00198965"
"425","{UHT-milk,fruit/vegetable juice,sugar}","5","0.00198965"
"426","{UHT-milk,fruit/vegetable juice,tropical fruit}","15","0.00596896"
"427","{UHT-milk,fruit/vegetable juice,tropical fruit,yogurt}","5","0.00198965"
"428","{UHT-milk,fruit/vegetable juice,whipped/sour cream}","5","0.00198965"
"429","{UHT-milk,fruit/vegetable juice,whole milk}","8","0.00318345"
"430","{UHT-milk,fruit/vegetable juice,yogurt}","10","0.00397931"
"431","{UHT-milk,grapes}","10","0.00397931"
"432","{UHT-milk,grapes,other vegetables}","5","0.00198965"
"433","{UHT-milk,ham}","11","0.00437724"
"434","{UHT-milk,hamburger meat}","17","0.00676482"
"435","{UHT-milk,hamburger meat,other vegetables}","8","0.00318345"
"436","{UHT-milk,hamburger meat,pastry}","5","0.00198965"
"437","{UHT-milk,hamburger meat,soda}","6","0.00238758"
"438","{UHT-milk,hamburger meat,whole milk}","5","0.00198965"
"439","{UHT-milk,hard cheese}","11","0.00437724"
"440","{UHT-milk,hard cheese,other vegetables}","5","0.00198965"
